type,startTime,sport_time,max_pace,min_pace,distance(m),avg_pace,calories
6,2024-04-24 19:00:14+0000,1269,0.0,0.64434886,1745.0,0.727,163.0
6,2024-04-24 11:43:29+0000,1115,6.5154243,0.30787426,1790.0,0.622,152.0
6,2024-04-23 18:59:39+0000,1263,0.0,0.42787176,1837.0,0.687,164.0
6,2024-04-23 15:54:53+0000,1131,3.5148463,0.5409774,1732.0,0.652,133.0
6,2024-04-23 08:23:33+0000,4598,0.0,0.29348534,9527.0,0.482,603.0
6,2024-04-22 19:00:12+0000,1206,0.0,0.5496901,1777.0,0.678,160.0
6,2024-04-22 12:43:16+0000,1085,3.59491,0.4562843,1711.0,0.634,146.0
6,2024-04-22 10:13:48+0000,2093,0.0,0.3235091,4340.0,0.482,362.0
6,2024-04-19 18:26:48+0000,1334,1.9929146,0.46521774,2007.0,0.664,186.0
6,2024-04-19 09:52:35+0000,1146,2.5292914,0.47705817,1763.0,0.649,177.0
6,2024-04-18 14:53:44+0000,1120,1.4866441,0.38301855,1712.0,0.653,152.0
6,2024-04-18 12:41:49+0000,1174,7.696007,0.21782586,1905.0,0.616,158.0
6,2024-04-17 18:59:20+0000,1309,0.0,0.47355783,1913.0,0.683,160.0
6,2024-04-17 15:53:57+0000,1158,4.219398,0.5198694,1765.0,0.655,177.0
6,2024-04-17 06:47:39+0000,4899,0.0,0.32010856,9693.0,0.505,961.0
6,2024-04-16 18:59:28+0000,1241,0.0,0.36337376,1864.0,0.665,172.0
6,2024-04-16 16:02:12+0000,1061,4.413943,0.41690132,1751.0,0.605,130.0
24,2024-04-16 07:21:36+0000,2993,0.0,0.0,0.0,0.0,312.0
6,2024-04-15 18:12:23+0000,12283,0.0,0.29434705,2338.0,5.252,640.0
6,2024-04-15 12:43:53+0000,1139,2.666964,0.5261248,1732.0,0.657,159.0
6,2024-04-12 19:06:35+0000,1079,0.0,0.2101039,1829.0,0.589,163.0
6,2024-04-12 09:39:07+0000,1091,3.2982886,0.11107004,1878.0,0.58,150.0
6,2024-04-11 18:14:55+0000,849,2.1076798,0.23403557,1225.0,0.692,118.0
6,2024-04-11 12:43:13+0000,1059,3.0871544,0.50978094,1703.0,0.621,156.0
24,2024-04-11 10:01:26+0000,2143,0.0,0.0,0.0,0.0,205.0
6,2024-04-11 09:18:59+0000,2371,1.6051033,0.35661295,4444.0,0.533,436.0
6,2024-04-10 18:55:44+0000,1277,0.0,0.5256839,1863.0,0.685,170.0
6,2024-04-10 15:54:05+0000,1088,4.136308,0.5517081,1786.0,0.608,166.0
6,2024-04-09 18:59:46+0000,1503,0.0,0.14189787,2002.0,0.75,193.0
6,2024-04-09 15:29:35+0000,1133,2.0479763,0.47640678,1754.0,0.645,168.0
6,2024-04-09 07:50:23+0000,5167,0.0,0.31404978,9604.0,0.537,934.0
6,2024-04-08 19:01:08+0000,1232,0.0,0.32390985,1878.0,0.655,172.0
6,2024-04-08 12:42:33+0000,1144,8.044751,0.52059644,1772.0,0.645,173.0
24,2024-04-08 10:09:37+0000,2372,0.0,0.0,0.0,0.0,220.0
6,2024-04-08 09:46:02+0000,1290,6.7905946,0.4897629,1954.0,0.659,228.0
6,2024-04-05 19:01:04+0000,1217,0.0,0.44266874,1849.0,0.658,146.0
6,2024-04-05 12:41:04+0000,1197,3.7560017,0.44599771,1796.0,0.666,166.0
6,2024-04-04 14:51:53+0000,1192,0.0,0.5644603,1835.0,0.649,170.0
6,2024-04-04 12:41:50+0000,1091,3.8286161,0.4304378,1776.0,0.614,180.0
6,2024-04-03 18:59:44+0000,1241,0.0,0.54519475,1815.0,0.683,173.0
6,2024-04-03 15:55:21+0000,1122,1.5917221,0.43070033,1797.0,0.624,164.0
6,2024-04-02 18:58:44+0000,1422,0.0,0.300356,1925.0,0.738,201.0
6,2024-04-02 15:56:25+0000,1244,3.348999,0.5127402,1771.0,0.702,156.0
6,2024-04-01 08:38:38+0000,5846,0.0,0.41057584,9596.0,0.609,1120.0
6,2024-03-21 12:01:01+0000,1192,0.0,0.3950382,1808.0,0.658,222.0
6,2024-03-21 07:46:44+0000,1164,4.1462235,1.2368582,1728.0,0.673,163.0
6,2024-03-20 18:34:21+0000,1172,0.0,0.37375593,1841.0,0.636,163.0
6,2024-03-20 11:00:47+0000,1115,3.59491,0.47203857,1721.0,0.647,144.0
6,2024-03-18 19:55:50+0000,1171,0.0,0.17832337,2256.0,0.518,172.0
6,2024-03-18 13:42:09+0000,1181,1.809305,0.23381831,1990.0,0.593,138.0
6,2024-03-15 20:06:15+0000,1155,0.0,0.24256247,1854.0,0.622,215.0
6,2024-03-15 13:12:41+0000,1145,4.2726164,0.45486325,1753.0,0.652,161.0
6,2024-03-14 16:17:32+0000,1106,8.658008,0.3939465,1754.0,0.63,157.0
6,2024-03-14 13:35:03+0000,1236,4.365655,0.380299,1902.0,0.649,170.0
6,2024-03-13 20:03:51+0000,1208,0.0,0.45827162,1773.0,0.68,158.0
6,2024-03-13 13:45:23+0000,1185,3.1749487,0.31379092,1990.0,0.595,167.0
6,2024-03-12 20:01:56+0000,1176,0.0,0.23181188,2253.0,0.521,177.0
6,2024-03-12 18:40:04+0000,1205,3.7248244,0.49882084,1892.0,0.636,184.0
6,2024-03-11 19:59:07+0000,1452,0.0,1.2368582,1865.0,0.778,213.0
6,2024-03-11 14:40:53+0000,1151,4.1462235,1.2368582,1739.0,0.661,172.0
6,2024-03-08 20:01:05+0000,1174,3.8480034,0.42233455,1845.0,0.635,193.0
6,2024-03-08 13:41:31+0000,1159,1.3368691,0.44061217,1817.0,0.637,154.0
6,2024-03-07 13:33:17+0000,1144,3.128633,0.4023672,1767.0,0.647,157.0
6,2024-03-06 19:58:26+0000,1673,5.1645017,0.3303305,1877.0,0.89,206.0
6,2024-03-06 16:52:47+0000,1141,3.59491,0.48236793,1888.0,0.604,229.0
24,2024-03-06 07:46:49+0000,3113,0.0,0.0,0.0,0.0,336.0
6,2024-03-05 20:01:20+0000,1261,0.0,0.444142,1798.0,0.701,152.0
6,2024-03-05 16:50:41+0000,1196,6.7905946,0.58210856,1866.0,0.64,200.0
24,2024-03-05 07:40:05+0000,3471,0.0,0.0,0.0,0.0,321.0
6,2024-03-04 19:09:25+0000,1214,0.0,0.3982445,1825.0,0.665,162.0
6,2024-03-04 13:38:42+0000,1198,1.233765,0.55356896,1845.0,0.649,157.0
6,2024-03-01 19:59:16+0000,1186,3.9430013,0.23713653,1867.0,0.634,214.0
6,2024-03-01 15:30:55+0000,1169,0.0,0.411392,1822.0,0.641,229.0
6,2024-02-29 17:52:28+0000,998,1.229552,0.38378724,1717.0,0.581,129.0
6,2024-02-29 13:35:58+0000,1111,5.772005,1.082251,1688.0,0.657,167.0
6,2024-02-28 19:58:17+0000,1161,0.0,0.40907052,1834.0,0.632,166.0
6,2024-02-28 12:44:20+0000,1144,1.9023788,0.4791613,1813.0,0.63,156.0
6,2024-02-27 20:01:25+0000,1232,0.0,0.37324372,1884.0,0.653,165.0
6,2024-02-27 18:38:45+0000,1149,1.870282,0.5327677,1759.0,0.652,128.0
6,2024-02-26 20:00:38+0000,1209,0.0,0.3805303,1957.0,0.617,144.0
6,2024-02-26 13:40:08+0000,1170,2.024123,0.39627013,1758.0,0.665,155.0
6,2024-02-23 20:01:02+0000,2339,0.0,0.48210368,1912.0,1.222,272.0
6,2024-02-23 13:38:46+0000,1106,1.8017485,0.5078263,1791.0,0.617,121.0
6,2024-02-22 18:10:28+0000,1212,0.0,0.24881989,1796.0,0.674,138.0
6,2024-02-22 13:38:18+0000,1104,3.545422,0.511636,1740.0,0.634,161.0
6,2024-02-21 20:00:33+0000,1274,0.0,0.36021325,1911.0,0.666,132.0
6,2024-02-21 13:37:16+0000,1137,3.2324495,0.567096,1760.0,0.645,138.0
6,2024-02-20 20:02:51+0000,1357,0.0,0.44519895,1878.0,0.722,166.0
6,2024-02-20 13:32:45+0000,1106,3.607503,0.49955955,1798.0,0.615,154.0
6,2024-02-19 20:00:27+0000,1296,0.0,0.30082768,1927.0,0.672,180.0
6,2024-02-19 13:39:35+0000,1127,2.064334,0.30365533,1894.0,0.594,149.0
6,2024-02-16 20:02:34+0000,1152,1.9104906,0.15792355,1991.0,0.578,114.0
6,2024-02-16 13:33:43+0000,1149,1.9789741,0.42505795,1782.0,0.644,130.0
6,2024-02-15 18:15:57+0000,1337,0.0,0.49249864,1876.0,0.712,181.0
6,2024-02-15 13:39:30+0000,1148,1.7829529,0.5042237,1776.0,0.646,154.0
6,2024-02-14 20:02:26+0000,1154,0.0,0.1904092,1765.0,0.653,155.0
6,2024-02-14 13:39:06+0000,1181,2.9753928,0.46470103,1784.0,0.661,164.0
6,2024-02-13 20:02:57+0000,1360,0.0,0.30539298,2042.0,0.665,195.0
6,2024-02-13 13:33:23+0000,1178,5.349007,0.50069493,1815.0,0.648,152.0
6,2024-02-09 20:00:29+0000,1472,0.0,0.13800886,2356.0,0.624,190.0
6,2024-02-09 13:32:12+0000,1146,4.6089363,0.30692947,1840.0,0.622,172.0
6,2024-02-08 18:12:23+0000,1188,0.0,0.4504139,1875.0,0.633,194.0
6,2024-02-08 13:42:39+0000,1114,3.7560017,0.38290778,1746.0,0.638,143.0
6,2024-02-07 20:00:31+0000,1232,0.0,0.4310225,1839.0,0.669,169.0
6,2024-02-07 13:38:24+0000,1111,1.9074204,0.48355663,1806.0,0.614,112.0
6,2024-02-06 17:48:28+0000,1352,3.8480034,0.35889468,1853.0,0.729,179.0
6,2024-02-06 16:24:39+0000,1084,3.2312734,0.5422099,1780.0,0.608,171.0
6,2024-02-05 19:07:15+0000,1346,0.0,0.47023374,1996.0,0.674,225.0
6,2024-02-05 13:32:43+0000,1181,2.4500558,0.4813634,1807.0,0.653,179.0
6,2024-01-31 20:00:20+0000,1561,0.0,0.26282912,1962.0,0.795,209.0
6,2024-01-31 10:46:05+0000,1164,4.583151,0.4030998,1859.0,0.625,166.0
6,2024-01-30 20:02:03+0000,1353,1.157983,0.2924229,2008.0,0.673,177.0
6,2024-01-30 15:02:49+0000,2390,1.8518806,0.35504317,3690.0,0.647,390.0
6,2024-01-30 13:38:15+0000,1150,2.338014,0.41038206,1824.0,0.63,163.0
6,2024-01-29 19:16:41+0000,1254,0.0,0.47927213,1845.0,0.679,173.0
6,2024-01-29 13:37:18+0000,1173,5.772005,0.5750541,1828.0,0.641,150.0
6,2024-01-25 18:16:33+0000,1260,0.0,0.19491188,2801.0,0.449,167.0
6,2024-01-25 13:36:31+0000,1195,5.818433,0.538936,1800.0,0.663,237.0
6,2024-01-24 20:05:00+0000,1491,0.0,1.082251,1759.0,0.847,52.0
6,2024-01-24 12:36:33+0000,1118,6.7905946,1.0713356,1730.0,0.646,138.0
6,2024-01-23 20:00:41+0000,3095,0.0,0.3958133,1835.0,1.686,303.0
6,2024-01-23 13:32:26+0000,1249,4.2726164,0.4945678,1804.0,0.692,183.0
6,2024-01-22 20:09:13+0000,1165,0.0,0.4262946,1655.0,0.703,154.0
6,2024-01-22 13:30:25+0000,1188,3.7000153,0.4170281,1750.0,0.678,187.0
6,2024-01-18 18:15:31+0000,1234,0.0,0.3760706,1845.0,0.668,172.0
6,2024-01-18 13:32:40+0000,1157,0.0,0.46234775,1833.0,0.631,153.0
6,2024-01-17 20:01:56+0000,1208,0.0,0.45957828,1800.0,0.67,173.0
6,2024-01-17 13:33:16+0000,1198,4.2726164,0.40252313,1892.0,0.633,174.0
6,2024-01-16 20:04:09+0000,1547,0.0,0.41794062,1861.0,0.83,248.0
6,2024-01-16 13:33:30+0000,1257,1.6458029,0.52459526,1822.0,0.689,192.0
6,2024-01-15 20:08:02+0000,1434,4.4832745,0.4530464,1674.0,0.856,171.0
6,2024-01-15 13:37:59+0000,1252,2.568631,0.5804906,1803.0,0.694,174.0
6,2024-01-12 19:59:10+0000,1202,2.9524019,0.4386581,1822.0,0.659,158.0
6,2024-01-12 13:42:03+0000,1216,5.2233644,0.40905192,1880.0,0.646,152.0
6,2024-01-11 18:52:00+0000,1255,0.0,0.5321932,1614.0,0.777,155.0
6,2024-01-11 13:33:05+0000,1202,3.6064801,0.4613084,1829.0,0.656,162.0
6,2024-01-10 07:42:32+0000,5601,0.0,0.3137255,9505.0,0.589,898.0
6,2024-01-09 19:59:47+0000,1304,0.0,0.21861579,2165.0,0.602,169.0
6,2024-01-09 13:39:11+0000,1133,4.449202,0.47970927,1790.0,0.632,154.0
24,2024-01-09 07:32:24+0000,2890,0.0,0.0,0.0,0.0,334.0
6,2024-01-08 19:58:31+0000,1402,0.0,0.37507662,1940.0,0.722,211.0
6,2024-01-08 13:40:13+0000,1244,0.0,0.41955036,1873.0,0.663,189.0
6,2024-01-08 06:58:25+0000,5864,1.7322544,0.48893893,9485.0,0.618,805.0
6,2024-01-02 08:35:27+0000,5985,2.8700037,0.48892194,9541.0,0.627,1096.0
6,2023-12-22 12:20:42+0000,1203,0.0,0.53034836,1836.0,0.655,160.0
6,2023-12-22 08:20:19+0000,1244,0.0,0.40882882,1841.0,0.675,176.0
6,2023-12-21 11:02:39+0000,1123,3.5104198,0.54427147,1683.0,0.667,152.0
6,2023-12-20 20:01:35+0000,1156,0.0,0.49352273,1774.0,0.651,169.0
6,2023-12-20 13:32:43+0000,2172,0.0,1.0880219,1830.0,1.186,248.0
6,2023-12-19 20:06:48+0000,1555,0.0,0.41179422,1771.0,0.877,212.0
6,2023-12-19 13:34:09+0000,1140,5.6812534,0.4200119,1853.0,0.615,165.0
6,2023-12-18 20:01:45+0000,1313,9.004318,0.349893,1936.0,0.677,170.0
6,2023-12-18 13:34:14+0000,1120,1.845479,0.43637633,1873.0,0.597,134.0
6,2023-12-14 16:55:49+0000,1221,0.0,0.3179512,1879.0,0.649,181.0
6,2023-12-14 14:32:28+0000,1110,2.7529416,0.5137476,1725.0,0.643,157.0
6,2023-12-13 17:16:34+0000,1230,0.0,0.41057095,1834.0,0.67,179.0
6,2023-12-13 14:26:43+0000,1095,4.810004,0.45720544,1818.0,0.602,142.0
6,2023-12-12 20:01:25+0000,1151,2.0989108,0.35255697,1865.0,0.616,159.0
6,2023-12-12 13:36:12+0000,1090,4.115951,0.43755963,1896.0,0.574,149.0
6,2023-12-11 20:08:11+0000,1197,0.0,0.37000635,1788.0,0.669,153.0
6,2023-12-11 13:32:56+0000,1369,4.002574,0.3720151,2010.0,0.68,183.0
6,2023-12-11 09:38:01+0000,5703,3.0060015,0.3907668,9471.0,0.602,931.0
6,2023-12-04 19:59:54+0000,1581,0.0,0.33165216,1889.0,0.836,184.0
6,2023-12-04 13:46:43+0000,763,3.2982886,0.3885963,1322.0,0.577,116.0
6,2023-12-03 11:01:18+0000,5270,1.4937229,0.49658442,7577.0,0.695,775.0
6,2023-12-01 20:04:00+0000,1743,5.0351133,0.368559,1921.0,0.907,240.0
6,2023-12-01 13:40:47+0000,1062,3.9674294,0.48613682,1713.0,0.619,163.0
6,2023-11-30 18:17:29+0000,5128,0.0,0.4037288,1895.0,2.705,415.0
6,2023-11-30 13:37:19+0000,1112,4.528575,0.40795678,1773.0,0.627,163.0
6,2023-11-29 20:02:53+0000,1156,3.5544012,0.56514025,1850.0,0.624,166.0
6,2023-11-29 12:40:28+0000,1066,3.5048895,0.45639765,1758.0,0.606,168.0
6,2023-11-28 20:02:50+0000,1210,0.0,0.49198824,1820.0,0.664,157.0
6,2023-11-28 13:32:05+0000,1163,1.6018466,0.37313598,1813.0,0.641,150.0
6,2023-11-27 20:02:10+0000,1333,0.0,0.29802912,1851.0,0.719,174.0
6,2023-11-27 13:34:09+0000,1127,3.2982886,0.43445268,1823.0,0.618,147.0
6,2023-11-24 20:00:21+0000,1152,0.0,0.52872235,1774.0,0.649,158.0
6,2023-11-24 13:33:15+0000,1221,2.5014448,0.36825103,1794.0,0.68,172.0
6,2023-11-23 18:15:31+0000,1343,2.064675,0.3477506,2013.0,0.667,180.0
6,2023-11-23 13:31:49+0000,1194,3.257527,0.49289873,1761.0,0.677,143.0
6,2023-11-22 20:00:31+0000,1176,0.0,0.4736917,1815.0,0.647,167.0
6,2023-11-22 13:35:16+0000,1142,3.5531425,0.4691061,1757.0,0.649,168.0
6,2023-11-21 20:02:11+0000,1227,0.0,0.34492043,1863.0,0.658,169.0
6,2023-11-21 13:31:32+0000,1178,2.1354342,0.39549547,1764.0,0.667,157.0
6,2023-11-20 19:59:27+0000,1263,4.6176043,0.3346462,2004.0,0.63,172.0
6,2023-11-20 13:33:35+0000,1182,5.3573756,0.5654913,1804.0,0.655,161.0
6,2023-11-20 07:33:43+0000,5679,0.0,0.37130472,9604.0,0.591,946.0
6,2023-11-17 20:02:59+0000,1288,0.0,0.38976026,1936.0,0.665,154.0
6,2023-11-17 13:27:30+0000,1250,3.0854547,0.5533249,1827.0,0.683,169.0
6,2023-11-16 16:58:16+0000,1146,2.8860025,0.2672234,2030.0,0.564,169.0
6,2023-11-16 13:30:10+0000,1195,0.0,0.39493403,1877.0,0.636,173.0
6,2023-11-15 20:00:50+0000,1366,0.0,0.31270185,1968.0,0.693,192.0
6,2023-11-15 13:17:05+0000,1275,0.0,0.4728499,1912.0,0.666,178.0
6,2023-11-14 20:03:27+0000,1687,1.4672627,0.17768405,2669.0,0.631,230.0
6,2023-11-14 13:33:35+0000,1153,4.2726164,0.44656697,1771.0,0.651,159.0
6,2023-11-13 20:00:35+0000,1222,2.2964153,0.31746265,2105.0,0.58,171.0
6,2023-11-13 13:35:03+0000,1116,9.285037,0.32395098,1789.0,0.623,157.0
24,2023-11-13 07:16:53+0000,2844,0.0,0.0,0.0,0.0,283.0
6,2023-11-09 19:58:26+0000,1177,3.5164807,0.1025282,1928.0,0.61,158.0
6,2023-11-09 13:30:32+0000,1198,0.0,0.30481446,1828.0,0.655,145.0
6,2023-11-08 20:02:29+0000,1193,1.6290631,0.14440627,1810.0,0.658,198.0
6,2023-11-08 13:37:02+0000,1090,2.0258353,0.4487633,1718.0,0.634,158.0
24,2023-11-08 06:53:24+0000,3476,0.0,0.0,0.0,0.0,345.0
6,2023-11-07 20:04:56+0000,1166,2.9912877,0.2612971,1853.0,0.629,163.0
6,2023-11-07 13:27:26+0000,1149,0.0,0.43216333,1784.0,0.643,180.0
6,2023-11-06 19:15:45+0000,1210,2.6458192,0.3637935,2010.0,0.601,153.0
6,2023-11-06 13:29:32+0000,1052,4.109668,0.45194018,1781.0,0.59,180.0
24,2023-11-06 07:04:00+0000,3086,0.0,0.0,0.0,0.0,307.0
6,2023-11-03 20:02:36+0000,1357,3.267163,0.16669345,2051.0,0.661,178.0
6,2023-11-03 13:25:06+0000,1174,2.3575206,0.4272939,1893.0,0.619,166.0
6,2023-11-02 19:15:48+0000,1128,2.2003186,0.3760405,1813.0,0.622,129.0
6,2023-11-02 13:23:18+0000,1405,0.0,0.46777916,1851.0,0.758,178.0
24,2023-11-02 06:47:49+0000,2039,0.0,0.0,0.0,0.0,193.0
24,2023-11-01 08:42:54+0000,2031,0.0,0.0,0.0,0.0,179.0
6,2023-10-31 07:24:21+0000,3478,3.52625,0.37452123,4384.0,0.793,549.0
24,2023-10-31 06:26:22+0000,1886,0.0,0.0,0.0,0.0,165.0
24,2023-10-27 05:15:30+0000,2536,0.0,0.0,0.0,0.0,262.0
24,2023-10-25 05:16:02+0000,1817,0.0,0.0,0.0,0.0,161.0
6,2023-10-24 16:34:40+0000,5081,1.3362458,0.576412,7461.0,0.68,909.0
24,2023-10-24 05:14:43+0000,1766,0.0,0.0,0.0,0.0,158.0
24,2023-10-20 05:06:28+0000,1899,0.0,0.0,0.0,0.0,166.0
24,2023-10-18 05:07:48+0000,1944,0.0,0.0,0.0,0.0,168.0
6,2023-10-17 16:44:42+0000,3422,2.7081325,0.45943508,5557.0,0.615,518.0
24,2023-10-17 05:05:30+0000,1829,0.0,0.0,0.0,0.0,171.0
6,2023-10-14 07:43:51+0000,3588,1.5956597,0.54557574,6121.0,0.586,547.0
24,2023-10-14 07:19:32+0000,1418,0.0,0.0,0.0,0.0,110.0
6,2023-10-12 09:35:22+0000,4939,1.6976023,0.40027723,7507.0,0.657,685.0
24,2023-10-12 08:52:28+0000,1888,0.0,0.0,0.0,0.0,154.0
6,2023-10-10 16:17:32+0000,4980,2.0894997,0.46128744,7492.0,0.664,525.0
24,2023-10-10 05:10:51+0000,1965,0.0,0.0,0.0,0.0,131.0
6,2023-10-09 07:22:53+0000,1797,1.7740136,0.39188284,2944.0,0.61,283.0
6,2023-10-09 06:02:11+0000,2012,1.3013887,0.5170151,2959.0,0.679,291.0
6,2023-10-06 17:12:35+0000,4947,1.538008,0.50052524,7497.0,0.659,161.0
6,2023-09-30 17:50:10+0000,3245,1.2141443,0.36321342,5644.0,0.574,558.0
24,2023-09-29 05:06:35+0000,1988,0.0,0.0,0.0,0.0,158.0
6,2023-09-28 17:37:16+0000,5120,4.813296,0.52980626,7524.0,0.68,978.0
24,2023-09-28 05:08:53+0000,1895,0.0,0.0,0.0,0.0,149.0
6,2023-09-27 17:25:13+0000,5046,1.8339473,0.5766758,7476.0,0.674,16.0
24,2023-09-27 05:08:54+0000,2022,0.0,0.0,0.0,0.0,195.0
6,2023-09-26 17:28:27+0000,5346,2.1095328,0.3922332,7492.0,0.713,820.0
24,2023-09-26 05:10:32+0000,1810,0.0,0.0,0.0,0.0,152.0
6,2023-09-25 06:31:16+0000,4601,1.1326288,0.38852707,7984.0,0.576,805.0
24,2023-09-25 05:58:57+0000,1824,0.0,0.0,0.0,0.0,143.0
6,2023-09-24 08:25:49+0000,4968,3.9928336,0.4255348,7611.0,0.652,816.0
24,2023-09-24 07:01:25+0000,1944,0.0,0.0,0.0,0.0,158.0
6,2023-09-22 16:13:43+0000,4386,2.4043307,0.45011857,7508.0,0.584,780.0
24,2023-09-22 05:12:43+0000,2049,0.0,0.0,0.0,0.0,238.0
6,2023-09-21 16:59:35+0000,4809,5.5268016,0.53326225,7489.0,0.642,719.0
24,2023-09-21 05:08:40+0000,2206,0.0,0.0,0.0,0.0,188.0
24,2023-09-20 05:07:16+0000,1884,0.0,0.0,0.0,0.0,157.0
6,2023-09-19 17:39:24+0000,2516,8.278038,0.39348948,3841.0,0.655,344.0
